restaurant,tag,url,review
형제상회,생선회,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/32812007?c=14128679.2002431,4511117.9888840,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.46리뷰 999+
냅다청양집 노량진점,돼지고기구이,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1155748870?c=14128679.2002431,4511117.9888840,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.66리뷰 999+
운봉산장,"육류,고기요리","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/19867548?c=14128679.2002431,4511117.9888840,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.36리뷰 882
전라상회,생선회,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/21290261?c=14128679.2002431,4511117.9888840,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.56리뷰 999+
노량해전 노량진횟집,생선회,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1594529881?c=14128679.2002431,4511117.9888840,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.33리뷰 999+TV생방송투데이
다독이네 숯불구이,"육류,고기요리","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1404508364?c=14128679.2002431,4511117.9888840,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.67리뷰 999+
독도수산,생선회,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1822334614?c=14129544.7426799,4510660.4803726,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.78리뷰 999+
노량진수산시장 청양수산 횟집,생선회,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37064618?c=14129544.7426799,4510660.4803726,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.84리뷰 999+TV생방송투데이
진주식당,생선회,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/771196897?c=14129544.7426799,4510660.4803726,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 966TV놀라운토요일
88수산,킹크랩요리,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1531407721?c=14128679.2002431,4511117.9888840,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.75리뷰 229
