restaurant,tag,url,review
형제상회,생선회,32812007,"['4.46', '999']"
냅다청양집 노량진점,돼지고기구이,1155748870,"['4.66', '999']"
운봉산장,"육류,고기요리",19867548,"['4.36', '882']"
전라상회,생선회,21290261,"['4.56', '999']"
노량해전 노량진횟집,생선회,1594529881,"['4.33', '999']"
다독이네 숯불구이,"육류,고기요리",1404508364,"['4.67', '999']"
독도수산,생선회,1822334614,"['4.78', '999']"
노량진수산시장 청양수산 횟집,생선회,37064618,"['4.84', '999']"
진주식당,생선회,771196897,['966']
88수산,킹크랩요리,1531407721,"['4.75', '229']"
푸른바다,생선회,566080414,"['4.64', '999']"
경성상회,생선회,1233254542,"['4.72', '999']"
레알짱 노량진3호점,한식뷔페,1873457373,"['4.36', '210']"
고집132 노량진점,"육류,고기요리",1886894617,['73']
청해진,생선회,13299893,"['4.53', '793']"
일성수산,생선회,37257157,"['4.68', '999']"
손선장,생선회,1849203435,"['4.83', '719']"
해태기아,생선회,1265900768,"['4.89', '999']"
도로도로커피숍,"카페,디저트",1758692496,"['4.68', '669']"
와우신내떡,떡볶이,12822861,"['4.59', '999']"
칭따오양꼬치,양꼬치,37653479,"['4.7', '482']"
해물포차꼴통 1호점,생선회,1326241209,"['4.37', '752']"
이레상회,생선회,1660199348,['999']
원조부안집 노량진점,돼지고기구이,1842553676,['742']
새우네집,"해물,생선요리",230403199,"['4.56', '921']"
프레퍼스 다이어트 푸드 노량진점,"다이어트,샐러드",1443079665,['921']
양자호떡 노량진점,호떡,1689541688,"['4.1', '234']"
대원수산,생선회,37911214,"['4.79', '999']"
해물포차꼴통 3호점,생선회,1944786664,"['4.41', '781']"
사이공리,베트남음식,320206492,"['4.53', '999']"
샤브로 21,샤브샤브,1192685856,['999']
톰스키친,"스파게티,파스타전문",1949271795,"['4.53', '150']"
마마부찌,"찌개,전골",36208511,"['4.58', '999']"
닭발집,닭발,38003229,"['4.3', '999']"
오징어야,생선회,18750387,"['4.47', '999']"
서산안면도,생선회,36011223,"['4.65', '541']"
뺑빼르망떼,베이커리,1628077659,['347']
충남미림,생선회,1052612425,"['4.61', '601']"
삼삼가마솥돈까스앤칡불냉면 노량진본점,돈가스,36883207,"['4.45', '999']"
텐카이치,일본식라면,38009190,"['4.51', '862']"
밀숲 노량진점,"칼국수,만두",37987434,"['4.51', '999']"
영흥정육식당,정육식당,32692689,"['4.46', '674']"
오감만족,포장마차,233912086,"['4.58', '382']"
모든것은당근케이크에서시작됐다,"카페,디저트",1791749543,"['4.64', '464']"
대신수산,킹크랩요리,1198229034,"['4.29', '744']"
대부도,생선회,1995480417,"['4.63', '491']"
우정수산,생선회,1197642296,"['4.82', '609']"
피숑,"카페,디저트",1318726211,"['4.83', '262']"
김씨마구로,생선회,1358486776,"['4.25', '597']"
밥드림,한식,733678993,"['4.63', '302']"
필링필링,"카페,디저트",1122699698,['404']
신지도수산,생선회,1017393093,"['4.86', '544']"
오코노미스토리,일식당,719818520,"['4.55', '360']"
골든볼9,한식뷔페,1573883323,"['4.05', '320']"
계공감,닭갈비,1748383017,['126']
피자보이시나 노량진점,피자,37072828,"['4.36', '967']"
순천집,한식,11857246,"['4.32', '407']"
땅끝마을,생선회,13550861,"['4.63', '648']"
노량진할머니왕파전,한식,13120218,"['4.44', '475']"
다독이네숯불구이 2호점,"육류,고기요리",1132186906,"['4.74', '586']"
취복루,중식당,21651765,"['4.38', '262']"
밋투데이,"육류,고기요리",1162909122,"['4.71', '321']"
부대통령뚝배기 노량진점,"찌개,전골",954170327,"['4.42', '999']"
소야,소고기구이,1038486717,"['4.62', '244']"
전남친감성주막 노량진점,요리주점,1749711326,['243']
연탄집,돼지고기구이,13160696,"['4.14', '680']"
와가마마,양식,32323346,"['4.42', '722']"
여수여천,생선회,31029068,"['4.72', '999']"
골든볼9 메가스터디타워점,한식,1354921403,"['4.31', '297']"
전티마이 베트남 쌀국수,베트남음식,38729426,"['4.34', '999']"
금옥이네,한식,1837272144,"['4.38', '86']"
청석골감자탕순대국,한식,35557020,"['4.33', '437']"
스타벅스 노량진역점,카페,1676143420,"['4.47', '999']"
이든돈카츠,한식,41700055,"['4.61', '604']"
쇼신,이자카야,31295835,"['4.59', '188']"
우뇽 뚝배기스파게티,"스파게티,파스타전문",169294410,"['4.52', '439']"
구이천국,조개요리,1240153266,"['4.44', '208']"
하늘채본관,한식,1925998944,"['4.2', '480']"
만주양꼬치,양꼬치,33878505,"['4.41', '323']"
끄트머리,한식,1853152024,['270']
엉터리생고기 노량진점,"육류,고기요리",37615390,"['4.34', '451']"
피맥하우스,피자,1400220391,"['4.48', '323']"
육수당 노량진점,국밥,1406207152,"['4.18', '857']"
한국밥 노량진점,국밥,38526091,"['4.41', '443']"
하늘채별관,한식,1181674860,"['4.29', '455']"
오이시돈카츠,돈가스,20501490,['407']
고피자 노량진점,피자,1442323639,"['4.53', '534']"
꿀꾸랄라,돼지고기구이,30808641,"['4.5', '286']"
베러먼데이 노량진점,카페,1282110376,['157']
정동진 삼계탕,한식,13160686,"['4.29', '577']"
천외천,중식당,11694371,"['4.32', '396']"
마루,한식,18753455,"['4.69', '276']"
잇또라멘 노량진점,잇또라멘,1613175721,"['4.39', '836']"
서울밥집 노량진점,한식,1262885563,"['4.44', '267']"
목포유달산,생선회,1079192349,"['4.67', '482']"
부안수산,생선회,32812011,"['4.49', '362']"
명가왕족발보쌈,"족발,보쌈",20352442,"['4.27', '364']"
맥도날드 노량진점,햄버거,11807293,"['4.42', '999']"
전라도회양념,한식,1050197335,"['3.97', '433']"
울동네꾸이집 노량진점,닭갈비,1406302201,"['4.81', '343']"
와플스,와플,257376976,"['4.61', '999']"
본죽&비빔밥cafe 노량진점,죽,18751710,"['4.31', '581']"
연가 노량진점,"육류,고기요리",148361992,"['4.58', '948']"
자금성,중식당,20895762,"['4.26', '791']"
써브웨이 노량진역점,샌드위치,1896424647,"['4.42', '999']"
노브랜드버거 노량진점,햄버거,1086672460,"['4.48', '999']"
포대포곱창,"곱창,막창,양",11730310,"['4.43', '332']"
더참맛수육국밥 노량진점,국밥,37898144,"['4.55', '280']"
떡슐랭 노량진점,분식,1181320442,"['4.68', '394']"
딘딘향 노량진역점,중식당,1241458262,"['4.47', '612']"
대한해물 노량진점,"아귀찜,해물찜",36154608,"['4.27', '951']"
coffee3,이탈리아음식,21854376,"['4.45', '450']"
맥주바켓 노량진점,"맥주,호프",21000184,"['4.38', '71']"
스시준 노량진점,일식당,31107834,"['4.53', '426']"
배할머니네밥집 노량진점,"백반,가정식",13567325,"['4.52', '263']"
보물수산,생선회,1191437763,"['4.65', '566']"
곱창의 전설 노량진점,"곱창,막창,양",37350711,['371']
카츠진 노량진점,돈가스,1400275706,['271']
동작카페,"카페,디저트",1386606368,"['4.56', '313']"
밑술,와인,1412308056,"['4.52', '69']"
스파게티스토리 메가스터디타워점,스파게티스토리,1512702050,"['4.48', '374']"
담소소사골순대육개장 노량진점,"순대,순댓국",1441303656,"['4.3', '999']"
규동집,일식당,1723239037,['234']
신주닭발,닭발,1922913584,"['4.5', '155']"
치치 노량진점,요리주점,37898979,"['4.35', '256']"
벌교아줌마,생선회,37288751,"['4.37', '167']"
스타벅스 노량진동점,카페,1792035518,"['4.52', '999']"
노량진3D고시뷔페 메가스터디타워점,뷔페,144888209,"['4.34', '149']"
레커훈스노량진점,"치킨,닭강정",18692799,"['4.55', '407']"
이삭토스트 메가스터디타워점,토스트,38572283,"['4.66', '947']"
건어물달인맥주 노량진1호점,"맥주,호프",1088943123,"['4.63', '128']"
동대문엽기떡볶이 상도노량진점,분식,36174954,"['4.3', '730']"
지지엔엔 베이크 샵,"카페,디저트",1058800248,['145']
짚신매운갈비찜 노량진점,"육류,고기요리",33860252,"['4.36', '404']"
두끼 노량진역점,분식,1067714521,"['4.45', '767']"
유가네한우곰탕 노량진점,"곰탕,설렁탕",1513817684,"['4.46', '498']"
할리스 노량진역점,카페,21197681,"['4.37', '804']"
삼정튀김집,한식,1254121392,"['4.17', '237']"
의리수산,생선회,1612728626,"['4.56', '326']"
장충왕족발보쌈,"족발,보쌈",1813132873,"['4.21', '717']"
롯데리아 노량진점,햄버거,13404173,"['4.35', '999']"
강릉교동반점 원조1호 분점,중식당,38009204,"['4.06', '194']"
두루찌개3대,"찌개,전골",32817533,"['4.32', '591']"
역전우동0410 노량진점,"우동,소바",33167023,"['4.47', '999']"
BBQ노량진점,"치킨,닭강정",11798676,"['4.45', '420']"
노량진수산시장 복띵이수산3 대게킹크랩전문점,게요리,1269941788,"['4.21', '149']"
단골커피,카페,20738706,"['4.62', '324']"
두찜 동작노량진점,찜닭,1150985904,"['4.37', '241']"
고향일식,일식당,18753715,"['4.48', '100']"
주전부리 노량진점,한식,13160739,"['4.39', '166']"
강변상회,생선회,37086070,"['4.72', '160']"
소반갈비탕 노량진점,갈비탕,928460970,"['3.82', '100']"
역전할머니맥주 노량진점,"맥주,호프",1182019957,"['4.32', '999']"
노들나루밥상,한식,75868739,"['4.54', '189']"
소풍닭강정 노량진점,"치킨,닭강정",1989743007,"['4.41', '139']"
김종구부산어묵 노량진점,분식,1734983311,"['4.26', '999']"
컵속애,"도시락,컵밥",35209477,['124']
차차커피코 노량진1호점,"카페,디저트",1204162829,['326']
나루터칼국수전문점,"칼국수,만두",20325564,"['4.22', '314']"
고려왕족발,"족발,보쌈",18694930,"['4.46', '309']"
몽소베이커리&카페 노량진점,카페,992104152,"['4.36', '833']"
홍콩반점0410 노량진점,중식당,31044479,"['4.32', '999']"
마라공방 노량진점,중식당,1655079358,"['4.79', '999']"
길동우동 장승배기역점,"우동,소바",1067541918,['236']
계경순대국 노량진메가스터디점,"순대,순댓국",364698664,"['4.44', '650']"
더밀베이커리,베이커리,31492707,['999']
투썸플레이스 노량진점,카페,31041013,"['4.33', '999']"
나리곱창,한식,1136074065,['139']
신 남도수산,생선회,1611105760,"['4.44', '614']"
하얼빈양꼬치,양꼬치,1313928467,"['4.14', '168']"
커피팩토리쏘 24시,테이크아웃커피,12794099,"['4.4', '370']"
현대옥 노량진점,국밥,21783142,"['4.43', '408']"
노랑통닭 노량진점,"치킨,닭강정",1136788932,"['4.44', '439']"
봉구스밥버거 노량진점,분식,1290792085,"['4.27', '96']"
팔팔낙지,낙지요리,37554245,"['4.4', '625']"
옛날그집,한식,1411564966,"['4.53', '78']"
핵밥 노량진점,덮밥,1244847927,['521']
대박곱창볶음 노량진점,"곱창,막창,양",1233494606,"['4.59', '178']"
쌍둥이네해물손칼국수,"칼국수,만두",20930118,"['4.5', '125']"
독한맥주,"맥주,호프",1554015835,['63']
빨봉분식 노량진점,분식,36745271,"['4.43', '602']"
샐러디 노량진역점,"다이어트,샐러드",1307451653,"['4.44', '638']"
뚝스토리 노량진본점,"스파게티,파스타전문",37525512,"['4.52', '206']"
전망 좋은집,"맥주,호프",1927885316,"['5', '128']"
카페비엔,"카페,디저트",1875231258,"['4.94', '999']"
육회1도씨 2호점,한식,1630326670,"['4.39', '175']"
미각양꼬치 노량진2호점,양꼬치,1345238458,"['4', '149']"
와플대학 노량진캠퍼스,와플,1974614186,"['4.45', '427']"
라밥 노량진2호점,종합분식,38563042,['999']
이쉐프,한식,38488167,"['4.56', '999']"
날개닭,"치킨,닭강정",1355065751,"['5', '103']"
