restaurant,tag,url
커피랑도서관 반포점,스터디카페,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1037795379?c=14123779.1166335,4509519.7853615,11,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EC%2584%259C%25EC%25B4%2588%25EA%25B5%25AC%25EC%259D%258C%25EC%258B%259D%25EC%25A0%2590"
오도로키,"우동,소바","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1236496890?c=14123779.1166335,4509519.7853615,11,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EC%2584%259C%25EC%25B4%2588%25EA%25B5%25AC%25EC%259D%258C%25EC%258B%259D%25EC%25A0%2590"
텍사스데브라질 센트럴시티점,"스테이크,립","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36995509?c=14123779.1166335,4509519.7853615,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
샤브리샤브샤브,샤브샤브,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36046241?c=14123779.1166335,4509519.7853615,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
원조부안집 양재점,돼지고기구이,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1485719894?c=14123779.1166335,4509519.7853615,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
우대옥,소고기구이,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1114403653?c=14123779.1166335,4509519.7853615,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
하이디라오 서초지점,중식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/38314432?c=14123779.1166335,4509519.7853615,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
슈퍼두퍼 강남점,햄버거,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1284558745?c=14120794.5965575,4506056.7553465,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
바다당,생선회,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1494363706?c=14120794.5965575,4506056.7553465,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
설마중,"육류,고기요리","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36122875?c=14125373.6570196,4509520.0660049,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
일점사수제돼지갈비 교대역본점,"육류,고기요리","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1092254070?c=14125373.6570196,4509520.0660049,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
차알 파미에스테이션점,중식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1433741819?c=14125373.6570196,4509520.0660049,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
원당감자탕 사당점,감자탕,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/18745644?c=14124124.7525204,4507818.5791375,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
정통 한성 양갈비 양꼬치,양꼬치,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/35657854?c=14124124.7525204,4507818.5791375,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
더 리버사이드 호텔 뷔페 더가든키친,뷔페,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/18282060?c=14120793.4165709,4505965.0437402,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
봉산옥 서초동본점,한식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11851001?c=14120793.4165709,4505965.0437402,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
딘타이펑 강남점,중식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11845459?c=14120793.4165709,4505965.0437402,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
우나유,일식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1822843979?c=14124037.8899218,4506693.7930102,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
백년옥,두부요리,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11678686?c=14124037.8899218,4506693.7930102,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
호호식당 파미에스테이션,일식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1306929366?c=14124037.8899218,4506693.7930102,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
미니말레 커피뢰스터 양재본점,"카페,디저트","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/732040126?c=14125626.2075484,4507267.6257815,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
플랫나인,바(BAR),"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1793702349?c=14125626.2075484,4507267.6257815,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
스마일포차,한식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11559426?c=14123245.8851406,4509514.0742704,11,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EC%2584%259C%25EC%25B4%2588%25EA%25B5%25AC%25EC%259D%258C%25EC%258B%259D%25EC%25A0%2590"
