restaurant,tag,url,review
중앙해장,해장국,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37703543?c=14141140.3151745,4510188.9868351,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.42리뷰 999+
농민백암순대 본점,"순대,순댓국","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/13149768?c=14141140.3151745,4510188.9868351,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.51리뷰 999+TV수요미식회
부타이 1막,일식당,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1144038812?c=14141140.3151745,4510188.9868351,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.48리뷰 999+
오성식당,한식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1348627097?c=14141140.3151745,4510188.9868351,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.61리뷰 999+
뽕나무쟁이 선릉본점,"족발,보쌈","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/13468956?c=14141140.3151745,4510188.9868351,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.42리뷰 999+TV생방송투데이
보노보노 삼성점,해산물뷔페,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11684863?c=14141140.3151745,4510188.9868351,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.46리뷰 999+
신동궁감자탕 선릉직영점,감자탕,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/18468954?c=14141140.3151745,4510188.9868351,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.42리뷰 999+
스시소라 대치점,일식당,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/832737607?c=14141140.3151745,4510188.9868351,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.66리뷰 999+
숙성회장,일식당,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1459540460?c=14141140.3151745,4510188.9868351,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 전리뷰 101서울 강남구 대치동
청기와타운 선릉점,"육류,고기요리","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1043463604?c=14141140.3151745,4510188.9868351,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 전리뷰 165서울 강남구 대치동
파크 하얏트 서울 코너스톤,이탈리아음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11678779?c=14139936.6731803,4509692.6350433,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.44리뷰 999+
피양콩할마니,한식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/12017005?c=14139573.4710777,4509499.6211543,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.19리뷰 999+미쉐린 서울 2023
만나분식,떡볶이,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/13018228?c=14139573.4710777,4509499.6211543,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.21리뷰 999+TV미운우리새끼
크라이치즈버거 삼성역점,햄버거,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/587929920?c=14139573.4710777,4509499.6211543,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.54리뷰 999+
르브런쉭 대치점,브런치,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1243805691?c=14139573.4710777,4509499.6211543,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.38리뷰 999+
카토멘,일본식라면,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/31986060?c=14139573.4710777,4509499.6211543,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.46리뷰 999+TV생활의달인
테라로사 포스코센터점,카페,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1542149931?c=14141100.6854357,4510306.3319840,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.49리뷰 999+
수다 대치점,이자카야,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1266872356?c=14141100.6854357,4510306.3319840,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.61리뷰 999+
김태주 선산곱창 강남점,"곱창,막창,양","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1267417958?c=14141100.6854357,4510306.3319840,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.43리뷰 711
연타발 선릉점,"곱창,막창,양","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/35927543?c=14141100.6854357,4510306.3319840,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.47리뷰 999+TV2TV저녁생생정보
껠끄쇼즈,"카페,디저트","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/672327315?c=14139716.6613387,4509595.7978959,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.57리뷰 999+
오징어풍경,한식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/38407687?c=14139716.6613387,4509595.7978959,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.34리뷰 999+
나인오어,와인,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1032309906?c=14139716.6613387,4509595.7978959,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 전리뷰 49서울 강남구 대치동
그란구스또,이탈리아음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11568670?c=14139716.6613387,4509595.7978959,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.56리뷰 999+TV굿모닝대한민국
반룡산,이북음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/12053368?c=14139716.6613387,4509595.7978959,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.3리뷰 999+TV모닝와이드
후레쉬빌 삼성역본점,돈가스,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8C%80%EC%B9%98%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37397766?c=14141126.6006132,4510152.2343017,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.67리뷰 999+TV생방송투데이
