restaurant,tag,url,review,len,rating,count
텍사스데브라질 압구정점,"스테이크,립",1675303081,"['4.34', '999']",2,4.34,999.0
미뉴트 빠삐용,"카페,디저트",1867823297,['267'],1,,267.0
까폼,태국음식,38969614,"['4.51', '999']",2,4.51,999.0
노티드 청담,카페,895457986,"['4.44', '999']",2,4.44,999.0
뱃고동,낙지요리,11700226,"['4.28', '999']",2,4.28,999.0
자매의 부엌,이탈리아음식,35751409,"['4.47', '705']",2,4.47,705.0
골뱅이신사,"해물,생선요리",1744213648,"['4.73', '999']",2,4.73,999.0
루위,중식당,65729586,"['4.65', '999']",2,4.65,999.0
이끼롤까스 가로수길점,돈가스,21418931,"['4.52', '999']",2,4.52,999.0
꽁티드툴레아,브런치,1432373629,['999'],1,,999.0
호족반 청담,한식,1103092572,"['4.34', '999']",2,4.34,999.0
무탄,중식당,1044096368,['999'],1,,999.0
런던 베이글 뮤지엄 도산점,베이커리,1967647240,['999'],1,,999.0
압구정제주집,"육류,고기요리",1345715158,"['4.6', '999']",2,4.6,999.0
마일스톤 커피,카페,33972716,"['4.63', '999']",2,4.63,999.0
다운타우너 청담,햄버거,887123043,"['4.6', '999']",2,4.6,999.0
소진담 신사점,"카페,디저트",1865631399,"['4.5', '999']",2,4.5,999.0
최가네버섯샤브매운탕칼국수,샤브샤브,13154695,"['4.55', '999']",2,4.55,999.0
포스터리 베이커,케이크전문,1867302217,['999'],1,,999.0
요조라,일식당,1616921844,"['4.46', '391']",2,4.46,391.0
오리지널팬케이크하우스 가로수길점,양식,32548015,"['4.31', '999']",2,4.31,999.0
핫쵸,일식당,1301235554,"['4.49', '999']",2,4.49,999.0
SADDLER HAUS,와플,38328122,"['4.55', '999']",2,4.55,999.0
을지다락 도산공원,양식,1030343098,"['4.49', '999']",2,4.49,999.0
다이닝 목로 도산점,요리주점,1006750348,"['4.64', '999']",2,4.64,999.0
부베트,프랑스음식,1790431579,['999'],1,,999.0
대막,일식당,1640488466,"['4.43', '999']",2,4.43,999.0
우와,일식당,1653280910,"['4.5', '999']",2,4.5,999.0
치즈룸 안다즈,이탈리아음식,1297585187,"['4.58', '999']",2,4.58,999.0
피자덕후 피자힙 압구정점,피자,1832771562,"['4.91', '999']",2,4.91,999.0
정돈프리미엄 신사점,돈가스,148179327,"['4.36', '999']",2,4.36,999.0
어글리퍼피,"카페,디저트",1255909485,['184'],1,,184.0
리틀넥 청담,이탈리아음식,36963396,"['4.5', '999']",2,4.5,999.0
듀자미,카페,13574087,"['4.3', '999']",2,4.3,999.0
누데이크 하우스 도산,"카페,디저트",1067286803,['999'],1,,999.0
콴안다오,베트남음식,354614937,"['4.52', '999']",2,4.52,999.0
달마시안,양식,1529976454,['999'],1,,999.0
도산분식 도산공원점,종합분식,1123489755,"['4.23', '999']",2,4.23,999.0
도산맘마미아,"카페,디저트",1600727618,"['4.35', '999']",2,4.35,999.0
클랩피자 청담,피자,1672413996,"['4.52', '999']",2,4.52,999.0
프론트서울,카페,1122254586,['589'],1,,589.0
오스테리아 꼬또 압구정점,이탈리아음식,35734492,['999'],1,,999.0
카츠바이콘반,일식당,1573951163,"['4.58', '999']",2,4.58,999.0
보슬보슬 압구정본점,종합분식,1570607237,['344'],1,,344.0
카이센동 우니도,일식당,1720070048,"['4.84', '993']",2,4.84,993.0
벽돌해피푸드 압구정점,중식당,1165131753,"['4.48', '999']",2,4.48,999.0
온리고,양식,1975463492,"['4.71', '999']",2,4.71,999.0
키친마이야르,양식,1582956498,['999'],1,,999.0
리커테이션,와인,1222395691,"['4.91', '999']",2,4.91,999.0
호호식당 도산공원,일식당,1772605537,"['4.69', '999']",2,4.69,999.0
심퍼티쿠시 가로수길점,와인,1001519803,['884'],1,,884.0
온기정,덮밥,1946248827,"['4.3', '999']",2,4.3,999.0
카페무니 압구정본점,"카페,디저트",1614953667,['999'],1,,999.0
성수명당 신사점,요리주점,1114077752,"['4.44', '743']",2,4.44,743.0
한추,"맥주,호프",13358436,"['4.19', '999']",2,4.19,999.0
오마카세육,한식,1389565722,['26'],1,,26.0
포레스트 청담,양식,1259933590,"['4.99', '999']",2,4.99,999.0
쮸즈,"딤섬,중식만두",34786487,"['4.37', '999']",2,4.37,999.0
플디 도산점,"카페,디저트",1870183298,['752'],1,,752.0
갓잇 도산공원점,"멕시코,남미음식",1135036261,"['4.62', '999']",2,4.62,999.0
묵전,"전통,민속주점",20384015,"['4.45', '999']",2,4.45,999.0
칼리프하우스,브런치,1191020917,['504'],1,,504.0
볼피노,이탈리아음식,38767161,"['999', '2023']",2,999,2023.0
에뚜왈,베이커리,996334906,"['4.5', '999']",2,4.5,999.0
세시셀라 도산공원점,카페,11886505,"['4.44', '999']",2,4.44,999.0
샌드커피 논탄토 신사,카페,1067440345,"['4.47', '999']",2,4.47,999.0
콘피에르,양식,1343969288,['999'],1,,999.0
소각,중식당,1400123055,"['4.89', '999']",2,4.89,999.0
골드피쉬 딤섬퀴진,중식당,21037800,"['4.55', '999']",2,4.55,999.0
패티앤베지스 신사점,햄버거,1348101379,"['4.47', '999']",2,4.47,999.0
아베크 청담,양식,1846214116,"['4.37', '999']",2,4.37,999.0
이웃집통통이 로데오점,"카페,디저트",1850375355,"['4.58', '999']",2,4.58,999.0
뉴욕라츠오베이글스,베이글,1880997916,"['4.54', '999']",2,4.54,999.0
