restaurant,tag,url,review
꼼떼 바베큐 둔촌본점,"스파게티,파스타전문","https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37249333?c=14150505.1675250,4513651.4742218,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.28리뷰 999+TV2TV생생정보
청기와타운 길동사거리점,"육류,고기요리","https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1262988238?c=14150505.1675250,4513651.4742218,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 244서울 강동구 둔촌동
황도바지락칼국수,"칼국수,만두","https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/18596475?c=14150505.1675250,4513651.4742218,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.31리뷰 999+
인정원월남쌈,한식,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/18597240?c=14150505.1675250,4513651.4742218,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.1리뷰 999+TV맛있는녀석들
마드레,한식,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11621662?c=14150505.1675250,4513651.4742218,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.39리뷰 999+TV생방송투데이
윤화돈까스,돈가스,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/18660167?c=14150558.8680474,4514203.2829036,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.17리뷰 954
750식당,한식,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1037729395?c=14150558.8680474,4514203.2829036,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.3리뷰 554
시간을담다베이커리,베이커리,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1569320060?c=14150558.8680474,4514203.2829036,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.61리뷰 305
그루 펍,"맥주,호프","https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1952602120?c=14149477.9001320,4513720.5820755,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.65리뷰 105
추오정남원추어탕 둔촌점,추어탕,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%91%94%EC%B4%8C%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/33771320?c=14149477.9001320,4513720.5820755,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.37리뷰 976
