user,link,review_time
주변이 다 맛집,https://m.place.naver.com/my/5c0fc9c771d654380cc72f46/review?v=2,"최근 방문일
22.12.30.금
2022년 12월 30일 금요일
1번째 방문영수증"
하늘땅별당,https://m.place.naver.com/my/5b9e145cdf7660d64fb0ac65/review?v=2,"최근 방문일
1.2.월
2023년 1월 2일 월요일
1번째 방문영수증"
엘리스블루11,https://m.place.naver.com/my/5be501dcf873ff31e565c8d5/review?v=2,"최근 방문일
22.12.22.목
2022년 12월 22일 목요일
1번째 방문카드결제"
얼음꽃34,https://m.place.naver.com/my/5eff3ba4de5d1e6a342a536b/review?v=2,"최근 방문일
22.12.10.토
2022년 12월 10일 토요일
1번째 방문영수증"
Indifairy,https://m.place.naver.com/my/5efeb586ee06165e651cdf86/review?v=2,"최근 방문일
22.11.30.수
2022년 11월 30일 수요일
1번째 방문예약"
프로추앙러,https://m.place.naver.com/my/5e36dc098f87a842bcb13e66/review?v=2,"최근 방문일
22.12.22.목
2022년 12월 22일 목요일
1번째 방문영수증"
son****,https://m.place.naver.com/my/5efdddd067c6d4320f56c152/review?v=2,"최근 방문일
1.5.목
2023년 1월 5일 목요일
1번째 방문영수증"
미쓰조6,https://m.place.naver.com/my/5ec0c7148f87a842bcec1a74/review?v=2,"최근 방문일
22.12.24.토
2022년 12월 24일 토요일
1번째 방문카드결제"
깍쟁이811,https://m.place.naver.com/my/5d9d02698f87a842bc85b4e5/review?v=2,"최근 방문일
22.11.15.화
2022년 11월 15일 화요일
1번째 방문영수증"
새우튀김47,https://m.place.naver.com/my/5e515b318f87a842bcffe46c/review?v=2,"최근 방문일
22.12.20.화
2022년 12월 20일 화요일
1번째 방문영수증"
평균입맛,https://m.place.naver.com/my/5b9bd992d4d15ce2a5ccf2d0/review?v=2,"최근 방문일
1.3.화
2023년 1월 3일 화요일
1번째 방문영수증"
좀녕이,https://m.place.naver.com/my/5d429de58a3c62a206d1ef87/review?v=2,"최근 방문일
22.11.27.일
2022년 11월 27일 일요일
1번째 방문영수증"
목포먹보,https://m.place.naver.com/my/5dcce0c98f87a842bc68de63/review?v=2,"최근 방문일
22.12.25.일
2022년 12월 25일 일요일
1번째 방문영수증"
yiye0430,https://m.place.naver.com/my/5d1357d87570046012a91874/review?v=2,"최근 방문일
22.12.18.일
2022년 12월 18일 일요일
1번째 방문영수증"
